species_code,individual,evidence_type,photo_number,filename,relative_path,leaf_arrangement_value,leaf_arrangement_visibility,leaf_arrangement_confidence,leaf_shape_value,leaf_shape_visibility,leaf_shape_confidence,leaf_apex_value,leaf_apex_visibility,leaf_apex_confidence,leaf_margin_value,leaf_margin_visibility,leaf_margin_confidence,teeth_value,teeth_visibility,teeth_confidence,venation_value,venation_visibility,venation_confidence,surface_value,surface_visibility,surface_confidence,relative_color_value,relative_color_visibility,relative_color_confidence,underside_value,underside_visibility,underside_confidence,reproductive_structures_value,reproductive_structures_visibility,reproductive_structures_confidence,notes
SP001,CA001,hojas,01,SP001_CA001_hojas_01.jpg,species\SP001_cryptocarya_alba\photos\SP001_CA001_hojas_01.jpg,opuesta,visible,alta,ovada_eliptica,visible,alta,,,,entero_ondulado,visible,alta,,,,,,,,,,,,,,,,,,,
SP001,CA001,hojas,02,SP001_CA001_hojas_02.jpg,species\SP001_cryptocarya_alba\photos\SP001_CA001_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP001,CA001,ramilla_apical,01,SP001_CA001_ramilla_apical_01.jpg,species\SP001_cryptocarya_alba\photos\SP001_CA001_ramilla_apical_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP001,CA002,hojas,01,SP001_CA002_hojas_01.jpg,species\SP001_cryptocarya_alba\photos\SP001_CA002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC001,estructuras_reproductivas,01,SP002_LC001_estructuras_reproductivas_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC001_estructuras_reproductivas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC001,estructuras_reproductivas,02,SP002_LC001_estructuras_reproductivas_02.jpg,species\SP002_lithraea_caustica\photos\SP002_LC001_estructuras_reproductivas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC001,hojas,01,SP002_LC001_hojas_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC001_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC001,hojas,02,SP002_LC001_hojas_02.jpg,species\SP002_lithraea_caustica\photos\SP002_LC001_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC001,ramilla,01,SP002_LC001_ramilla_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC001_ramilla_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC002,hojas,01,SP002_LC002_hojas_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC002_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC003,hojas,01,SP002_LC003_hojas_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC003_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC003,hojas,02,SP002_LC003_hojas_02.jpg,species\SP002_lithraea_caustica\photos\SP002_LC003_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC004,hojas,01,SP002_LC004_hojas_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC004_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC004,hojas,02,SP002_LC004_hojas_02.jpg,species\SP002_lithraea_caustica\photos\SP002_LC004_hojas_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC004,hojas,03,SP002_LC004_hojas_03.jpg,species\SP002_lithraea_caustica\photos\SP002_LC004_hojas_03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP002,LC004,ramilla,01,SP002_LC004_ramilla_01.jpg,species\SP002_lithraea_caustica\photos\SP002_LC004_ramilla_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO001,fruto,01,SP003_KO001_fruto_01.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO001_fruto_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO001,fruto,02,SP003_KO001_fruto_02.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO001_fruto_02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO001,hojas,01,SP003_KO001_hojas_01.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO001_hojas_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP003,KO001,hojas_fruto,01,SP003_KO001_hojas_fruto_01.jpg,species\SP003_kageneckia_oblonga\photos\SP003_KO001_hojas_fruto_01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
