"referenceId","seriesId","sourceType","referenceKind","sourceTitle","evidenceRole","pilotRelevance","botanicalSourceRef","photographerOrAuthor","rightsHolder","sourceUrl","license","licenseUrl","dateAccessed","dateTaken","location","protectedArea","referenceArea","latitude","longitude","locationPrecision","approxAltitudeM","season","timeOfDay","cameraBearing","slopeAspect","environmentType","ecosystemId","ecosystemName","ecosystemSource","category","terrainForm","slopeClass","vegetationStructure","canopyCoverClass","substrate","hydrology","weatherAtmosphere","visibleSpecies","speciesEvidence","landscapeElements","observedNotes","interpretedNotes","ecologicalUse","artUse","localAssetPath","reviewConfidence","status","notes"
"ENV-0001","","institutional","institutionalPage","Santuario de la Naturaleza Yerba Loca","ecological;geomorphological","comparative","","SIMBIO / Ministerio del Medio Ambiente","Ministerio del Medio Ambiente","https://simbio.mma.gob.cl/CbaAP/Details/1061","unknown","","2026-09-16","","Lo Barnechea, Región Metropolitana, Chile","Santuario de la Naturaleza Yerba Loca","Yerba Loca","","","protectedArea","1300-5340","","","","","precordillera central;gradiente altitudinal","P41;otros","Incluye Bosque esclerofilo mediterráneo andino de Quillaja saponaria - Lithraea caustica y otros ecosistemas andinos","SIMBIO","contexto ecológico y clasificación","valle encajonado;laderas;alta montaña","","bosque esclerofilo;matorral;herbazal de altitud;sectores sin vegetación","","","estero Yerba Loca;estero La Leonera","","","","cordones montañosos;valle;afloramientos rocosos;nieve;glaciares","Fuente institucional documenta rango altitudinal amplio y múltiples ecosistemas dentro del santuario.","Debe subdividirse por altitud y ambiente; no usar Yerba Loca como una sola plantilla visual ni como sustituto del territorio núcleo.","Delimitar gradiente precordillerano y presencia de ecosistemas bajos, medios y de alta montaña.","Orientar estructura general de valle, cordones y transición altitudinal.","","high","reviewed","Referencia comparativa prioritaria para precordillera de Santiago."
"ENV-0002","","institutional","institutionalPage","Santuario de la Naturaleza Los Nogales","ecological;geomorphological","contextual","","SIMBIO / Ministerio del Medio Ambiente","Ministerio del Medio Ambiente","https://simbio.mma.gob.cl/CbaAP/Details/1046","unknown","","2026-09-16","","Lo Barnechea / cuenca del río Arrayán, Región Metropolitana, Chile","Santuario de la Naturaleza Los Nogales","Arrayán / Los Nogales","","","protectedArea","1200-3500","","","","","media y alta montaña;precordillera central","P41;otros","Incluye Bosque esclerofilo mediterráneo andino de Quillaja saponaria - Lithraea caustica y otros ecosistemas andinos","SIMBIO","contexto ecológico y clasificación","cordones montañosos;valles encajonados","","matorral esclerofilo andino;bosque esclerofilo andino;matorral xerofilo","","","","","","","pisos altitudinales;valles;cordones","La fuente institucional señala distribución de formaciones por pisos altitudinales y exposición de luz solar.","La exposición de ladera y la altitud deben considerarse variables visuales de primer orden. La ficha del santuario contextualiza el área núcleo, pero no se asume idéntica al Fundo Los Nogales.","Respaldar diferencias de estructura vegetal por altitud y exposición en el contexto territorial inmediato.","Orientar variación entre laderas y transición de vegetación.","","high","reviewed","Contexto territorial inmediato del piloto; no se vincula al Excel maestro sin evidencia de correspondencia directa con el levantamiento."
"ENV-0003","","institutional","institutionalPage","Ecosistema P41 — Bosque esclerofilo mediterráneo andino de Quillaja saponaria - Lithraea caustica","ecological","comparative","","SIMBIO / Ministerio del Medio Ambiente","Ministerio del Medio Ambiente","https://simbio.mma.gob.cl/Ecosistemas/Details/44","unknown","","2026-09-16","","Regiones de Valparaíso, Metropolitana y O'Higgins, Chile","","Bosque esclerofilo andino P41","","","ecosystemRange","200-1400","","","","","bosque esclerofilo mediterráneo andino","P41","Bosque esclerofilo mediterráneo andino de Quillaja saponaria - Lithraea caustica","SIMBIO; Luebert y Pliscoff 2017","contexto ecológico y clasificación","laderas bajas de Andes y vertiente oriental de Cordillera de la Costa","","bosque esclerofilo;posibles estados degradados a matorral arborescente o espinal","","","","","","Quillaja saponaria;Lithraea caustica","sourceReported","laderas;afloramientos rocosos;cajas de ríos;nieves;ríos;lagos y embalses","Fuente oficial define distribución 200-1400 m y describe degradación estructural del bosque.","Las escenas deben distinguir bosque relativamente conservado de estados degradados; no asumir dosel continuo.","Marco ecológico regional para contrastar el territorio núcleo.","Delimitar rango altitudinal y variabilidad estructural permitida sin sustituir la referencia local de Los Nogales.","high","reviewed","Marco ecosistémico comparativo."
"ENV-0004","","institutional","institutionalPage","Reserva Nacional Río Clarillo","ecological","comparative","","CONAF","CONAF","https://www.conaf.cl/parque_nacionales/reserva-nacional-rio-clarillo/","unknown","","2026-09-16","","Pirque, Región Metropolitana, Chile","Río Clarillo","Río Clarillo","","","protectedArea","","","","","","matorral y bosque esclerofilo;estepa altoandina","","","","contexto ecológico y clasificación","","","bosque y matorral esclerofilo con transición a sectores altos","","","","","","Lithraea caustica;Cryptocarya alba;Quillaja saponaria;Kageneckia angustifolia;Colliguaja integerrima","sourceReported","bosque esclerofilo;sectores altos andinos","CONAF destaca litre, peumo y quillay y señala especies de sectores altos.","Útil como contraste regional con Los Nogales / Arrayán.","Control independiente de composición y transición altitudinal.","Contrastar estructura vegetal de precordillera y valle ribereño.","","high","reviewed"
"ENV-0005","","scientific","managementPlan","Plan de manejo — Reserva Nacional Río Clarillo","ecological","comparative","","CONAF","CONAF","https://www.conaf.cl/centro-documental/plan-de-manejo-de-la-rn-rio-clarillo/","unknown","","2026-09-16","","Río Clarillo, Región Metropolitana, Chile","Río Clarillo","Río Clarillo","","","managementUnit","870-1500","","","","preferentemente sur","asociación peumo-litre-quillay","","","","contexto ecológico y clasificación","laderas bajas y medias","","cobertura medianamente densa a densa","50-60%","suelos de textura granítica con mayor desarrollo","","","Cryptocarya alba;Lithraea caustica;Quillaja saponaria","sourceReported","","Plan de manejo describe asociación entre 870 y 1500 m, preferentemente en exposición sur, con 50-60% de cobertura.","Aporta una primera relación respaldada entre exposición sur, mayor cobertura y suelos más desarrollados en esta unidad.","Sustentar reglas comparativas de cobertura, exposición y sustrato.","Orientar comparaciones de densidad de dosel y lectura de ladera húmeda/sombreada.","","high","reviewed","No generalizar al Fundo Los Nogales sin corroboración local."
"ENV-0006","WEB-RC-2018-01","web","photograph","Rio Clarillo","visual;geomorphological;atmospheric","comparative","","Nicolás Valdés Ortega","Nicolás Valdés Ortega","https://commons.wikimedia.org/wiki/File:Rio_Clarillo.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/","2026-09-16","2018-07-08 16:09","Sendero Peumos B, Río Clarillo, Región Metropolitana, Chile","Río Clarillo","Río Clarillo","","","sourceReported","","winter","afternoon","","","ribereño;bosque esclerofilo","","","","quebrada;roca y suelo;microhábitat","cauce encajonado","","","","roca y bloques en lecho","río;poza natural","luz invernal de tarde","","","cauce;rocas;vegetación de ribera","La fotografía muestra una piscina natural formada por rocas y piedras en el lecho del río, con vegetación en los bordes.","Referencia útil para escala de roca, agua y vegetación en quebradas húmedas.","Documentar estructura física ribereña; no confirmar especies visibles sin revisión botánica.","Diseñar comparaciones de cauces, pozones, bordes rocosos y contraste de planos.","","high","reviewed",""
"ENV-0007","WEB-RC-2010-01","web","photograph","Río Clarillo","visual;geomorphological;atmospheric","comparative","","Osmar Valdebenito","Osmar Valdebenito","https://commons.wikimedia.org/wiki/File:R%C3%ADo_Clarillo.jpg","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","2026-09-16","2010-09-20 18:40:15","Río Clarillo, Región Metropolitana, Chile","Río Clarillo","Río Clarillo","","","sourceReported","","spring","evening","","","ribereño;precordillera","","","","paisaje general;cordillera y relieve;roca y suelo","cauce hacia cordillera","","","","bloques y piedras de río","río","luz vespertina","","","río;bloques;vegetación;cordillera al fondo","La descripción de origen indica vista del río Clarillo hacia la cordillera.","Útil para relación longitudinal entre cauce, vegetación y fondo cordillerano.","Contexto paisajístico comparativo; sin identificación de especies visibles.","Composición comparativa con eje de río que conduce hacia cordillera y profundidad de planos.","","high","reviewed",""
"ENV-0008","WEB-PIRQUE-2011-01","web","photograph","Bosque esclerófilo, Chile 001","visual;ecological","comparative","","Inao Vásquez","Inao Vásquez","https://commons.wikimedia.org/wiki/File:Bosque_escler%C3%B3filo,_Chile_001_%E2%80%94_Inao_V%C3%A1squez.jpg","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","2026-09-16","2011-04-22 11:54","Pirque, Región Metropolitana, Chile","","Pirque / bosque esclerofilo","-33.733762","-70.520725","point","","autumn","late morning","","","borde de bosque esclerofilo","","","","estructura de vegetación;paisaje general","","","borde de bosque junto a matriz abierta","","","","","","Peumo;Quillay;Litre;Lingue;Acacia caven","sourceReported","borde de bosque;matriz abierta;arbolado esclerofilo","La fuente describe un borde de bosque esclerofilo en Pirque junto a sabana de Acacia caven.","Las especies mencionadas por el autor no se consideran automáticamente confirmadas como visibles individualmente en la imagen.","Referencia comparativa de borde de bosque y matriz abierta en la RM.","Orientar comparación entre masa arbórea y espacio abierto.","","medium","reviewed"
"ENV-0009","WEB-ANDES-2026-01","web","photograph","Warm embrace of the Andes mountains","visual;atmospheric","comparative","","AndesInvierno","AndesInvierno","https://commons.wikimedia.org/wiki/File:Warm_embrace_of_the_Andes_mountains.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/","2026-09-16","2026-07-24 17:52:23","Área Manquehue, Las Condes, Santiago, Chile","","Santiago precordillera / vista de Andes","-33.412003","-70.566519","point","683","winter","sunset","95.345°","","vista cordillerana desde cuenca de Santiago","","","","cordillera y relieve;cielo y nubes;luz y hora del día","","","","","","","","cielo anaranjado con bruma;última luz sobre cumbres nevadas","","","cordillera de los Andes;cumbres nevadas;bruma","La fuente documenta cumbres nevadas iluminadas en naranja al atardecer y entrega coordenadas, rumbo y altitud del punto de toma.","Referencia fuerte para profundidad atmosférica invernal y contraste cálido-frío.","No usar para estructura vegetal; solo contexto atmosférico y geográfico comparativo.","Paleta comparativa y jerarquía de planos de cordillera invernal al atardecer.","","high","reviewed"
"ENV-0010","WEB-SCL-2010-01","web","photograph","AndesSantiago","visual;atmospheric;geomorphological","comparative","","Elemaki / José Porras","Elemaki / José Porras","https://commons.wikimedia.org/wiki/File:AndesSantiago.jpg","CC BY 3.0; GFDL","https://creativecommons.org/licenses/by/3.0/","2026-09-16","2010-05-30 17:12","Santiago, Región Metropolitana, Chile","","Cuenca de Santiago / Andes","","","city","","autumn","late afternoon","","","panorama de cuenca urbana y cordilleras","","","","cordillera y relieve;neblina, lluvia y atmósfera;paisaje general","","","","","","","","bruma/smog y nubes","","","Andes;Cordillera de la Costa;cuenca de Santiago;bruma","Panorama de Santiago rodeado por Andes y Cordillera de la Costa, parcialmente cubierto por bruma/smog y nubes.","Útil para estudiar pérdida de contraste con distancia y escala aparente de la cordillera desde la cuenca.","No usar como evidencia de vegetación.","Profundidad atmosférica, siluetas de cordones y relación cuenca-cordillera como comparación regional.","","high","reviewed"
