species,folder,observation_id,photo_id,filename,license,attribution,inat_url,photo_url,observed_on,place_guess,quality_grade,inat_taxon_name
Cryptocarya alba,SP001_peumo,380465077,696057868,obs_380465077_photo_696057868.jpg,cc-by-nc,"(c) redlobeliabloom, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380465077,https://inaturalist-open-data.s3.amazonaws.com/photos/696057868/medium.jpg,2026-06-24,"Villa Alemana, Valparaíso, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380716958,696461788,obs_380716958_photo_696461788.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380716958,https://inaturalist-open-data.s3.amazonaws.com/photos/696461788/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380716966,696461922,obs_380716966_photo_696461922.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380716966,https://inaturalist-open-data.s3.amazonaws.com/photos/696461922/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717072,696466161,obs_380717072_photo_696466161.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717072,https://inaturalist-open-data.s3.amazonaws.com/photos/696466161/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717094,696466890,obs_380717094_photo_696466890.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717094,https://inaturalist-open-data.s3.amazonaws.com/photos/696466890/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717095,696466932,obs_380717095_photo_696466932.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717095,https://inaturalist-open-data.s3.amazonaws.com/photos/696466932/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717102,696466974,obs_380717102_photo_696466974.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717102,https://inaturalist-open-data.s3.amazonaws.com/photos/696466974/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717547,696484563,obs_380717547_photo_696484563.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717547,https://inaturalist-open-data.s3.amazonaws.com/photos/696484563/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380717586,696485425,obs_380717586_photo_696485425.jpg,cc-by-nc,"(c) Manuel Alejandro Henríquez, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380717586,https://inaturalist-open-data.s3.amazonaws.com/photos/696485425/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380836235,696772559,obs_380836235_photo_696772559.jpg,cc-by-nc,"(c) Carolina Escobar Aguila, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/380836235,https://inaturalist-open-data.s3.amazonaws.com/photos/696772559/medium.jpg,2026-07-10,"Pirque, Región Metropolitana, Chile",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,380851276,696801142,obs_380851276_photo_696801142.jpg,cc-by,"(c) Gabriela Cartes, some rights reserved (CC BY)",https://www.inaturalist.org/observations/380851276,https://inaturalist-open-data.s3.amazonaws.com/photos/696801142/medium.jpg,2026-07-04,"Santuario de la Naturaleza Cerro Poqui, Coltauco, Región del Libertador General Bernardo O'Higgins, CL",research,Cryptocarya alba
Cryptocarya alba,SP001_peumo,381251216,697578622,obs_381251216_photo_697578622.jpg,cc-by-nc,"(c) Fundación Kennedy para la Conservación de los Humedales, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/381251216,https://inaturalist-open-data.s3.amazonaws.com/photos/697578622/medium.jpg,2026-07-13,"Parque Padre Hurtado, La Reina",research,Cryptocarya alba
